,Country,no_of_stars,name,city
0,Netherlands,1,Kaatje bij de Sluis,"Brouwerstraat 20, 8356 DV Blokzijl"
1,Netherlands,1,Derozario,"Steenweg 8, 5707 CG Helmond"
2,Netherlands,1,De Karpendonkse Hoeve,"Sumatralaan 3, 5631 AA Eindhoven"
3,Netherlands,1,Wollerich,"Heuvel 23, 5492 AC Sint-Oedenrode"
4,Netherlands,1,Basiliek,"Vischmarkt 57 L, 3841 BE Harderwijk"
5,Netherlands,1,RIJKS®,"Museumstraat 2, 1077 XX Amsterdam"
6,Netherlands,1,ONE,"ECI 17, 6041 MA Roermond"
7,Netherlands,1,Het Koetshuis,"Panoramaweg 23a, 6721 MK Bennekom"
8,Netherlands,1,De Heer Kocken,"Taalstraat 173, 5261 BD Vught"
9,Netherlands,1,De Leuf,"Dalstraat 2, 6367 JS Ubachsberg"
10,Netherlands,1,Lastage,"Geldersekade 29, 1011 EJ Amsterdam"
11,Netherlands,1,FG Food Labs,"Katshoek 41, 3032 AE Rotterdam"
12,Netherlands,1,'t Vlasbloemeken,"Nieuwstraat 8, 4576 AL Koewacht"
13,Netherlands,1,Rijnzicht,"Sterreschans 15, 6686 MS Doornenburg"
14,Netherlands,1,Eden,"Eindhovenseweg 115, 5552 AA Valkenswaard"
15,Netherlands,1,Wiesen,"Kleine Berg 10, 5611 JV Eindhoven"
16,Netherlands,1,Spetters,"Kaai 5, 4511 RC Breskens"
17,Netherlands,1,De Burgemeester,"Raadhuisstraat 17, 3461 CW Linschoten"
18,Netherlands,1,Merlet,"Duinweg 15, 1871 AC Schoorl"
19,Netherlands,1,Cheval Blanc,"Jan van Goyenstraat 29, 2102 CA Heemstede"
20,Netherlands,1,Olivijn,"Kleine Houtstraat 70, 2011 DR Haarlem"
21,Netherlands,1,RON Gastrobar,"Sophialaan 55, 1075 BP Amsterdam"
22,Netherlands,1,Bord'Eau,"Nieuwe Doelenstraat 2, 1012 CP Amsterdam"
23,Netherlands,1,The Millèn,"Weena 686, Rotterdam"
24,Netherlands,1,De Vlindertuin,"Stationsweg 41, 9471 GK Zuidlaren"
25,Netherlands,1,Voltaire,"Broekhuizerlaan 2, 3956 Leersum"
26,Netherlands,1,Versaen,"Marktstraat 19, 5371 AC Ravenstein"
27,Netherlands,1,Sense,"Jeroen Boschplein 6, 5211 HX 's-Hertogenbosch"
28,Netherlands,1,'t Raedthuys,"Rijksweg 51, 6921 AC Duiven"
29,Netherlands,1,Brienen aan de Maas,"Grotestraat 11, 5855 AK Well"
30,Netherlands,1,'t Lansink,"C.T. Storkstraat 18, 7553 AR Hengelo"
31,Netherlands,1,De Heeren van Harinxma,"Van Harinxmaweg 10, 9244 CJ Beetsterzwaag"
32,Netherlands,1,Perceel,"Dorpsstraat 3, 2902 BC Capelle aan den IJssel"
33,Netherlands,1,Sinne,"Ceintuurbaan 342, 1072 GP Amsterdam"
34,Netherlands,1,Mijn Keuken,"Markt 1, 4724 BK Wouw"
35,Netherlands,1,Mijn Keuken,"Markt 1, 4724 BK Wouw"
36,Netherlands,1,De Kromme Dissel,"Klein Zwitserlandlaan 5, 6866 DS Heelsum"
37,Netherlands,1,De Kromme Dissel,"Klein Zwitserlandlaan 5, 6866 DS Heelsum"
38,Netherlands,1,Zout & Citroen,"Ridderstraat 86, 4902 AC Oosterhout"
39,Netherlands,1,Zout & Citroen,"Ridderstraat 86, 4902 AC Oosterhout"
40,Netherlands,1,De Swarte Ruijter,"Holterbergweg 7, 7451 JL Holten"
41,Netherlands,1,De Swarte Ruijter,"Holterbergweg 7, 7451 JL Holten"
42,Netherlands,1,Noble Kitchen,"Deutersestraat 39B, 5266 AW Cromvoirt"
43,Netherlands,1,Noble Kitchen,"Deutersestraat 39B, 5266 AW Cromvoirt"
44,Netherlands,1,Posthoorn,"Noordeinde 43, 1141 AG Monnickendam"
45,Netherlands,1,Posthoorn,"Noordeinde 43, 1141 AG Monnickendam"
46,Netherlands,1,Apicius,"Van der Mijleweg 16, 1901 KD Castricum"
47,Netherlands,1,Apicius,"Van der Mijleweg 16, 1901 KD Castricum"
48,Netherlands,1,Flicka,"Berm 47, 5331 KL Kerkdriel"
49,Netherlands,1,Flicka,"Berm 47, 5331 KL Kerkdriel"
50,Netherlands,1,Valuas,"St. Urbanusweg 11, 5914 CA Venlo"
51,Netherlands,1,Valuas,"St. Urbanusweg 11, 5914 CA Venlo"
52,Netherlands,1,Da Vinci,"Havenstraat 27, 6051 CS Maasbracht"
53,Netherlands,1,Da Vinci,"Havenstraat 27, 6051 CS Maasbracht"
54,Netherlands,1,Fitzgerald,"Gelderseplein 49, 3011 WZ Rotterdam"
55,Netherlands,1,Fitzgerald,"Gelderseplein 49, 3011 WZ Rotterdam"
56,Netherlands,1,Bij Jef,"Herenstraat 34, 1797 AJ Den Hoorn"
57,Netherlands,1,Bij Jef,"Herenstraat 34, 1797 AJ Den Hoorn"
58,Netherlands,1,De Gieser Wildeman,"Botersloot 1, 4225 PR Noordeloos"
59,Netherlands,1,De Gieser Wildeman,"Botersloot 1, 4225 PR Noordeloos"
60,Netherlands,1,De Bloemenbeek,"Beuningerstraat 6, 7587 LD De Lutte"
61,Netherlands,1,De Bloemenbeek,"Beuningerstraat 6, 7587 LD De Lutte"
62,Netherlands,1,Yamazato,"Ferdinand Bolstraat 333, 1072 LH Amsterdam"
63,Netherlands,1,Graphite by Peter Gast,"Paardenstraat 15, 1017 CX Amsterdam"
64,Netherlands,1,De Vrienden van Jacob,"Duin en Kruidbergerweg 60, 2071 LE Santpoort"
65,Netherlands,1,Calla's,"Laan van Roos en Doorn 51a, 2514 BC Den Haag"
66,Netherlands,1,Marrees,"Stadhuispassage 10, 6001 KK Weert"
67,Netherlands,1,Tante Koosje,"Kerkstraat 1, 3632 EL Loenen aan de Vecht"
68,Netherlands,1,Le Restaurant,"Frans Halsstraat 26H, 1072 BR Amsterdam"
69,Netherlands,1,Vista,"Havenhoofd 2, 4797 SR Willemstad"
70,Netherlands,1,Katseveer,"Katseveerweg 2, 4475 PB Wilhelminadorp"
71,Netherlands,1,Zarzo,"Bleekweg 7, 5611 EZ Eindhoven"
72,Netherlands,1,De Loohoeve,"Hoofdstraat 20, 9443 PA Schoonloo"
73,Netherlands,1,'t Amsterdammertje,"Rijksstraatweg 119, 3632 AB Loenen aan de Vecht"
74,Netherlands,1,Wolfslaar,"Wolfslaardreef 100, 4803 EV Breda"
75,Netherlands,1,O&O,"Dorpsstraat 138, 4711 EL Sint Willebrord"
76,Netherlands,1,Vinkeles,"Keizersgracht 384, 1016 GB Amsterdam"
77,Netherlands,1,Lucas Rive,"Oude Doelenkade 7, 1621 BH Hoorn"
78,Netherlands,1,De Moerbei,"Dorpsstraat 5a, 2361 AK Warmond"
79,Netherlands,1,Ratatouille Food & Wine,"Spaarne 96, 2011 CL Haarlem"
80,Netherlands,1,Bolenius,"George Gershwinlaan 30, 1082 MT Amsterdam"
81,Netherlands,1,Latour,"Koningin Astrid Boulevard 5, 2202 BK Noordwijk aan Zee"
82,Netherlands,1,The Duchess,"Spuistraat 172, 1012 VT Amsterdam"
83,Netherlands,1,Niven,"Delftweg 58a, 2289 AL Rijswijk"
84,Netherlands,1,Restaurant 212,"Amstel 212, 1017 AH Amsterdam"
85,Netherlands,1,Beluga Loves You,"Plein 1992 nr 12, 6221 JP Maastricht"
86,Netherlands,1,De Nederlanden,"Duinkerken 3, 3633 EM Vreeland"
87,Netherlands,1,Vermeer,"Prins Hendrikkade 59, 1012 AD Amsterdam"
88,Netherlands,1,Tout à Fait,"St-Bernardusstraat 16, 6211 HL Maastricht"
89,Netherlands,1,Aan de Zweth,"Rotterdamseweg 480, 2636 KB Schipluiden"
90,Netherlands,1,Herberg Onder de Linden,"Burg. van Barneveldweg 3, 9831 RD Aduard"
91,Netherlands,1,ML,"Klokhuisplein 9, 2011 HK Haarlem"
92,Netherlands,2,Fred,"Honingerdijk 263, 3063 AM Rotterdam"
93,Netherlands,2,Parkheuvel,"Heuvellaan 21, 3016 GL Rotterdam"
94,Netherlands,2,De Treeswijkhoeve,"Valkenswaardseweg 14, 5582 VB Waalre"
95,Netherlands,2,FG - François Geurds,"Katshoek 37B, 3032 AE Rotterdam"
96,Netherlands,2,&Moshik,"Oosterdokskade 5, 1011 AD Amsterdam"
97,Netherlands,2,Aan de Poel,"Handweg 1, 1185 TS Amstelveen"
98,Netherlands,2,De Lindehof,"Beekstraat 1, 5671 CS Nuenen"
99,Netherlands,2,'t Nonnetje,"Vischmarkt 38, 3841 BG Harderwijk"
100,Netherlands,2,De Kromme Watergang,"Slijkplaat 6, 4513 KK Hoofdplaat"
101,Netherlands,2,Pure C,"Boulevard de Wielingen 49, 4506 JK Cadzand-Bad"
102,Netherlands,2,Sabero,"Roerkade 39, 6041 KZ Roermond"
103,Netherlands,2,Spectrum,"Herengracht 542, 1017 CG Amsterdam"
104,Netherlands,2,De Lindenhof,"Beulakerweg 77, 8355 AC Giethoorn"
105,Netherlands,2,De Groene Lantaarn,"Gemeenteweg 364, 7951 PG Staphorst"
106,Netherlands,2,Ciel Bleu,"Ferdinand Bolstraat 333, 1072 LH Amsterdam"
107,Netherlands,2,Tribeca,"Jan Deckersstraat 7, 5591 HN Heeze"
108,Netherlands,2,De Bokkedoorns,"Zeeweg 53, 2051 EB Overveen"
109,Netherlands,3,Inter Scaldes,"Zandweg 2, 4416 NA Kruiningen"
110,Netherlands,3,De Librije,"Spinhuisplein 1, 8011 ZZ Zwolle"
